CategoryGER,Keyword,KeywordId,StrCity,Date,Impressions,CategoryGERId
/Sport & Fitness/Sport/Fußball,fitness meerbusch,322381297099,Stuttgart,20171126,2,2952
/Sport & Fitness/Sport/Fußball,biathlon training,46935540,Nagold,20170227,1,2952
/Sport & Fitness/Sport/Fußball,ballmaschine tennis,495503636392,Karlsruhe,20171120,1,2952
/Sport & Fitness/Sport/Fußball,fussball manager 2016,141934168889,Munich,20170802,1,2952
/Sport & Fitness/Sport/Fußball,arena sport 3,53456688617,Heilbronn,20171207,1,2952
/Sport & Fitness/Sport/Fußball,fitness megastore,4823001090,Heilbronn,20171008,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,986573391,Heilbronn,20170707,1,2952
/Sport & Fitness/Sport/Fußball,aroha sport,27821331736,Weinheim,20170304,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,28208794409,Mannheim,20170707,1,2952
/Sport & Fitness/Sport/Fußball,fussball manager 2016,143474655191,Friedrichshafen,20171123,1,2952
/Sport & Fitness/Sport/Fußball,autogramm fussball,3105246512,Stuttgart,20171017,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,28208794409,Bietigheim-Bissingen,20170707,1,2952
/Sport & Fitness/Sport/Fußball,ktm macina sport,62564588220,Teningen,20170205,1,2952
/Sport & Fitness/Sport/Fußball,fussball live sport,296674895260,Parkstein,20171226,1,2952
/Sport & Fitness/Sport/Fußball,life fitness ergometer gebraucht,295821079620,Ubstadt-Weiher,20171012,1,2952
/Sport & Fitness/Sport/Fußball,fussball manager 2016,143474655191,Gottmadingen,20171127,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,986573391,Balingen,20170716,1,2952
/Sport & Fitness/Sport/Fußball,kinder fussball training,5542592708,Schorndorf,20171128,1,2952
/Sport & Fitness/Sport/Fußball,ktm macina sport,62564588220,Wehr,20170202,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,986573391,Waiblingen,20170716,1,2952
/Sport & Fitness/Sport/Fußball,decathlon fitness,303661007433,Straubenhardt,20171227,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,986573391,Winnenden,20170716,1,2952
